Sample;Dataset;Sea;Sequencing;Date;Year;Month;Depth_type;Size_fraction;Depth;Latitude;Longitude;T;S;O2;pH;NO3;NO2;NH4;PO4;SIOH4;Chla
BBMOBL100622_022;Blanes;Mediterranean Sea;Illumina;22/06/2010;2010;June;SRF;2;3;41.670417;2.800167;19.24;37.5;5.38;8.27;0.51;0.06;0.27;0.11;0.81;0.56
BBMOBL100622_30;Blanes;Mediterranean Sea;Illumina;22/06/2010;2010;June;SRF;3;3;41.670417;2.800167;19.24;37.5;5.38;8.27;0.51;0.06;0.27;0.11;0.81;0.56
BBMOBL100622_30r3;Blanes;Mediterranean Sea;Illumina;22/06/2010;2010;June;SRF;3;3;41.670418;2.800168;19.25;37.6;5.39;8.28;0.51;0.06;0.27;0.11;0.81;0.56
BBMOBL100706_022;Blanes;Mediterranean Sea;Illumina;06/07/2010;2010;July;SRF;2;3;41.670417;2.800167;23.05;37.7;5.32;8.22;0.08;0.01;0.06;0.12;0.3;0.43
BBMOBL100706_30;Blanes;Mediterranean Sea;Illumina;06/07/2010;2010;July;SRF;3;3;41.670417;2.800167;23.05;37.7;5.32;8.22;0.08;0.01;0.06;0.12;0.3;0.43
BBMOBL100803_022;Blanes;Mediterranean Sea;Illumina;03/08/2010;2010;August;SRF;2;3;41.670417;2.800167;24.11;37.8;5.16;NA;0.21;0.07;0.12;0.15;0.78;0.44
BBMOBL100803_30;Blanes;Mediterranean Sea;Illumina;03/08/2010;2010;August;SRF;3;3;41.670417;2.800167;24.11;37.8;5.16;NA;0.21;0.07;0.12;0.15;0.78;0.44
BBMOBL100914_022;Blanes;Mediterranean Sea;Illumina;14/09/2010;2010;September;SRF;2;3;41.670417;2.800167;24.43;38;5.28;8.25;0.13;0.03;0.2;0.12;0.62;0.31
BBMOBL100914_30;Blanes;Mediterranean Sea;Illumina;14/09/2010;2010;September;SRF;3;3;41.670417;2.800167;24.43;38;5.28;8.25;0.13;0.03;0.2;0.12;0.62;0.31
BBMOBL101019_022;Blanes;Mediterranean Sea;Illumina;19/10/2010;2010;October;SRF;2;3;41.670417;2.800167;17.61;37.9;NA;NA;0.57;0.06;0.23;0.14;1.33;0.78
BBMOBL101019_30;Blanes;Mediterranean Sea;Illumina;19/10/2010;2010;October;SRF;3;3;41.670417;2.800167;17.61;37.9;NA;NA;0.57;0.06;0.23;0.14;1.33;0.78
BBMOBL101019_30r3;Blanes;Mediterranean Sea;Illumina;19/10/2010;2010;October;SRF;3;3;41.670418;2.800168;17.62;37.1;NA;NA;0.57;0.06;0.23;0.14;1.34;0.79
BBMOBL101116_022;Blanes;Mediterranean Sea;Illumina;16/11/2010;2010;November;SRF;2;3;41.670417;2.800167;15.76;38.2;5.48;8.29;0.42;0.15;0.14;0.08;0.87;0.53
BBMOBL101116_30;Blanes;Mediterranean Sea;Illumina;16/11/2010;2010;November;SRF;3;3;41.670417;2.800167;15.76;38.2;5.48;8.29;0.42;0.15;0.14;0.08;0.87;0.53
BBMOBL101116_30r3;Blanes;Mediterranean Sea;Illumina;16/11/2010;2010;November;SRF;3;3;41.670418;2.800168;15.77;38.3;5.49;8.3;0.42;0.15;0.14;0.08;0.87;0.53
BBMOBL101214_022;Blanes;Mediterranean Sea;Illumina;14/12/2010;2010;December;SRF;2;3;41.670417;2.800167;14.45;38.2;5.72;8.18;1.46;0.25;0.12;0.18;1.52;0.51
BBMOBL101214_30;Blanes;Mediterranean Sea;Illumina;14/12/2010;2010;December;SRF;3;3;41.670417;2.800167;14.45;38.2;5.72;8.18;1.46;0.25;0.12;0.18;1.52;0.51
BBMOBL101214_30r3;Blanes;Mediterranean Sea;Illumina;14/12/2010;2010;December;SRF;3;3;41.670418;2.800168;14.46;38.3;5.73;8.19;1.47;0.25;0.12;0.18;1.53;0.52
BBMOBL110112_022;Blanes;Mediterranean Sea;Illumina;12/01/2011;2011;January;SRF;2;3;41.670417;2.800167;12.89;38;5.93;8.14;1.54;0.28;0.62;0.11;2.14;0.81
BBMOBL110112_30;Blanes;Mediterranean Sea;Illumina;12/01/2011;2011;January;SRF;3;3;41.670417;2.800167;12.89;38;5.93;8.14;1.54;0.28;0.62;0.11;2.14;0.81
BBMOBL110112_30r3;Blanes;Mediterranean Sea;Illumina;12/01/2011;2011;January;SRF;3;3;41.670418;2.800168;12.9;39;5.94;8.15;1.55;0.28;0.62;0.11;2.15;0.82
BBMOBL110208_022;Blanes;Mediterranean Sea;Illumina;08/02/2011;2011;February;SRF;2;3;41.670417;2.800167;12.36;37.8;6.22;8.15;1.41;0.24;0.56;0.11;2.03;0.96
BBMOBL110208_30;Blanes;Mediterranean Sea;Illumina;08/02/2011;2011;February;SRF;3;3;41.670417;2.800167;12.36;37.8;6.22;8.15;1.41;0.24;0.56;0.11;2.03;0.96
BBMOBL110208_30r3;Blanes;Mediterranean Sea;Illumina;08/02/2011;2011;February;SRF;3;3;41.670418;2.800168;12.37;37.9;6.23;8.16;1.42;0.24;0.56;0.11;2.04;0.97
BBMOBL110314_022;Blanes;Mediterranean Sea;Illumina;14/03/2011;2011;March;SRF;2;3;41.670417;2.800167;12.25;37.8;6.16;8.16;1.23;0.28;0.41;0.11;2.46;1.05
BBMOBL110314_30;Blanes;Mediterranean Sea;Illumina;14/03/2011;2011;March;SRF;3;3;41.670417;2.800167;12.25;37.8;6.16;8.16;1.23;0.28;0.41;0.11;2.46;1.05
BBMOBL110314_30r3;Blanes;Mediterranean Sea;Illumina;14/03/2011;2011;March;SRF;3;3;41.670418;2.800168;12.26;37.9;6.17;8.17;1.24;0.28;0.41;0.11;2.47;1.06
BBMOBL110412_022;Blanes;Mediterranean Sea;Illumina;12/04/2011;2011;April;SRF;2;3;41.670417;2.800167;NA;NA;5.93;8.33;0.47;0.08;0.69;0.11;1.01;0.45
BBMOBL110412_30;Blanes;Mediterranean Sea;Illumina;12/04/2011;2011;April;SRF;3;3;41.670417;2.800167;NA;NA;5.93;8.33;0.47;0.08;0.69;0.11;1.01;0.45
BBMOBL110412_30r3;Blanes;Mediterranean Sea;Illumina;12/04/2011;2011;April;SRF;3;3;41.670418;2.800168;NA;NA;5.94;8.34;0.47;0.08;0.69;0.11;1.02;0.46
BBMOBL110517_022;Blanes;Mediterranean Sea;Illumina;17/05/2011;2011;May;SRF;2;3;41.670417;2.800167;17.6;NA;5.49;8.2;0.44;0.02;0.04;0.1;0.69;0.49
BBMOBL110517_30;Blanes;Mediterranean Sea;Illumina;17/05/2011;2011;May;SRF;3;3;41.670417;2.800167;17.6;NA;5.49;8.2;0.44;0.02;0.04;0.1;0.69;0.49
BBMOBL110615_022;Blanes;Mediterranean Sea;Illumina;15/06/2011;2011;June;SRF;2;3;41.670417;2.800167;21;37.7;5.41;8.14;1.01;0.1;0.63;0.18;1.85;0.54
BBMOBL110704_022;Blanes;Mediterranean Sea;Illumina;05/07/2011;2011;July;SRF;2;3;41.670417;2.800167;22.4;37.8;5.2;8.33;0.42;0.01;0.03;0.08;0.4;0.2
BBMOBL110802_022;Blanes;Mediterranean Sea;Illumina;02/08/2011;2011;August;SRF;2;3;41.670417;2.800167;22.88;37.8;5.26;8.31;0.8;0.04;0.69;0.11;1.81;0.6
BBMOBL110802_30;Blanes;Mediterranean Sea;Illumina;02/08/2011;2011;August;SRF;3;3;41.670417;2.800167;22.88;37.8;5.26;8.31;0.8;0.04;0.69;0.11;1.81;0.6
BBMOBL110802_30r3;Blanes;Mediterranean Sea;Illumina;02/08/2011;2011;August;SRF;3;3;41.670418;2.800168;22.89;37.9;5.27;8.32;0.8;0.04;0.69;0.11;1.82;0.7
BBMOBL110913_022;Blanes;Mediterranean Sea;Illumina;13/09/2011;2011;September;SRF;2;3;41.670417;2.800167;23;NA;5.04;8.32;0.49;0;0.1;0.09;0.9;0.32
BBMOBL110913_30r2;Blanes;Mediterranean Sea;Illumina;13/09/2011;2011;September;SRF;3;3;41.670417;2.800167;23;NA;5.04;8.32;0.49;0;0.1;0.09;0.9;0.32
BBMOBL111010_022;Blanes;Mediterranean Sea;Illumina;10/10/2011;2011;October;SRF;2;3;41.670417;2.800167;20.64;38.1;5.04;8.2;0.51;0.01;0.03;0.08;1.02;0.37
BBMOBL111010_30;Blanes;Mediterranean Sea;Illumina;10/10/2011;2011;October;SRF;3;3;41.670417;2.800167;20.64;38.1;5.04;8.2;0.51;0.01;0.03;0.08;1.02;0.37
BBMOBL111010_30r3;Blanes;Mediterranean Sea;Illumina;10/10/2011;2011;October;SRF;3;3;41.670418;2.800168;20.65;38.2;5.05;8.3;0.51;0.01;0.03;0.08;1.03;0.38
BBMOBL111129_022;Blanes;Mediterranean Sea;Illumina;29/11/2011;2011;November;SRF;2;3;41.670417;2.800167;16.76;37.2;5.59;8.16;0.55;0.06;0.05;0.1;0.3;2.88
BBMOBL111129_30r2;Blanes;Mediterranean Sea;Illumina;29/11/2011;2011;November;SRF;3;3;41.670417;2.800167;16.76;37.2;5.59;8.16;0.55;0.06;0.05;0.1;0.3;2.88
BBMOBL111219_022;Blanes;Mediterranean Sea;Illumina;19/12/2011;2011;December;SRF;2;3;41.670417;2.800167;15.46;38.1;5.44;8.19;0.54;0.11;0.03;0.07;0.85;0.89
BBMOBL111219_30;Blanes;Mediterranean Sea;Illumina;29/11/2011;2011;November;SRF;3;3;41.670417;2.800167;16.76;37.2;5.59;8.16;0.55;0.06;0.05;0.1;0.3;2.88
BBMOBL111219_30r3;Blanes;Mediterranean Sea;Illumina;19/12/2011;2011;December;SRF;3;3;41.670417;2.800167;15.46;38.1;5.44;8.19;0.54;0.11;0.03;0.07;0.85;0.89
BBMOBL120110_022;Blanes;Mediterranean Sea;Illumina;10/01/2012;2012;January;SRF;2;3;41.670417;2.800167;14.39;38.1;NA;NA;0.19;0.26;1.39;0.08;1.22;0.69
BBMOBL120110_30;Blanes;Mediterranean Sea;Illumina;10/01/2012;2012;January;SRF;3;3;41.670417;2.800167;14.39;38.1;NA;NA;0.19;0.26;1.39;0.08;1.22;0.69
BBMOBL120110_30r3;Blanes;Mediterranean Sea;Illumina;10/01/2012;2012;January;SRF;3;3;41.670418;2.800168;14.4;38.2;NA;NA;0.19;0.26;1.4;0.09;1.23;0.7
BBMOBL120214_022;Blanes;Mediterranean Sea;Illumina;14/02/2012;2012;February;SRF;2;3;41.670417;2.800167;12.24;38.2;NA;NA;2.18;0.22;0.39;0.13;2.49;0.69
BBMOBL120214_30;Blanes;Mediterranean Sea;Illumina;14/02/2012;2012;February;SRF;3;3;41.670417;2.800167;12.24;38.2;NA;NA;2.18;0.22;0.39;0.13;2.49;0.69
BBMOBL120214_30r3;Blanes;Mediterranean Sea;Illumina;14/02/2012;2012;February;SRF;3;4;41.670418;2.800168;12.25;38.3;NA;NA;2.19;0.22;0.39;0.13;2.5;0.7
BBMOBL120313_022;Blanes;Mediterranean Sea;Illumina;13/03/2012;2012;March;SRF;2;3;41.670417;2.800167;13.18;38.3;6.24;8.4;2.38;0.26;0.67;0.1;2.45;0.67
BBMOBL120313_30;Blanes;Mediterranean Sea;Illumina;13/03/2012;2012;March;SRF;3;3;41.670417;2.800167;13.18;38.3;6.24;8.4;2.38;0.26;0.67;0.1;2.45;0.67
BBMOBL120411_022;Blanes;Mediterranean Sea;Illumina;11/04/2012;2012;April;SRF;2;3;41.670417;2.800167;13.82;38.2;5.85;8.17;0.17;0.09;0.57;0.04;1.72;1.21
BBMOBL120411_30;Blanes;Mediterranean Sea;Illumina;11/04/2012;2012;April;SRF;3;3;41.670417;2.800167;13.82;38.2;5.85;8.17;0.17;0.09;0.57;0.04;1.72;1.21
BBMOBL120518_022;Blanes;Mediterranean Sea;Illumina;11/05/2012;2012;May;SRF;2;3;41.670417;2.800167;16.8;38.2;6.13;8.52;0.11;0.09;0.91;0.04;0.5;0.36
BBMOBL120518_30;Blanes;Mediterranean Sea;Illumina;11/05/2012;2012;May;SRF;3;3;41.670417;2.800167;16.8;38.2;6.13;8.52;0.11;0.09;0.91;0.04;0.5;0.36
BBMOBL120518_30r3;Blanes;Mediterranean Sea;Illumina;12/05/2012;2013;June;SRF;3;3;41.670418;2.800168;16.9;38.3;6.14;8.53;0.11;0.09;0.91;0.04;0.5;0.36
BBMOBL120620_022;Blanes;Mediterranean Sea;Illumina;20/06/2012;2012;June;SRF;2;3;41.670417;2.800167;20.06;38.2;5.25;8.33;0.01;0.04;0.91;0.04;0.51;0.76
BBMOBL120620_30r2;Blanes;Mediterranean Sea;Illumina;20/06/2012;2012;June;SRF;3;3;41.670417;2.800167;20.06;38.2;5.25;8.33;0.01;0.04;0.91;0.04;0.51;0.76
BBMOBL120620_30r3;Blanes;Mediterranean Sea;Illumina;20/06/2012;2012;June;SRF;3;3;41.670418;2.800168;20.07;38.3;5.26;8.34;0.01;0.04;0.91;0.04;0.51;0.76
BBMOBL120703_022;Blanes;Mediterranean Sea;Illumina;03/07/2012;2012;July;SRF;2;3;41.670417;2.800167;22.01;38.1;5.28;8.36;0.06;0.06;0.53;0.05;0.51;0.26
BBMOBL120703_30;Blanes;Mediterranean Sea;Illumina;03/07/2012;2012;July;SRF;3;3;41.670417;2.800167;22.01;38.1;5.28;8.36;0.06;0.06;0.53;0.05;0.51;0.26
BBMOBL120807_022;Blanes;Mediterranean Sea;Illumina;07/08/2012;2012;August;SRF;2;3;41.670417;2.800167;25.35;38.1;NA;8.3;0.26;0.04;1.58;0.09;0.8;0.19
BBMOBL120807_30;Blanes;Mediterranean Sea;Illumina;07/08/2012;2012;August;SRF;3;3;41.670417;2.800167;25.35;38.1;NA;8.3;0.26;0.04;1.58;0.09;0.8;0.19
BBMOBL120807_30r3;Blanes;Mediterranean Sea;Illumina;08/08/2012;2013;September;SRF;3;3;41.670418;2.800168;25.36;38.2;NA;8.4;0.26;0.04;1.59;0.09;0.8;0.19
BBMOBL120913_022;Blanes;Mediterranean Sea;Illumina;13/09/2012;2012;September;SRF;2;3;41.670417;2.800167;22.46;38.2;5.1;8.36;0.07;0.02;0.61;0.03;1.05;0.16
BBMOBL120913_30;Blanes;Mediterranean Sea;Illumina;13/09/2012;2012;September;SRF;3;3;41.670417;2.800167;22.46;38.2;5.1;8.36;0.07;0.02;0.61;0.03;1.05;0.16
BBMOBL120913_30r3;Blanes;Mediterranean Sea;Illumina;14/09/2012;2013;October;SRF;3;3;41.670418;2.800168;22.47;38.3;5.2;8.37;0.07;0.02;0.61;0.03;1.06;0.17
BBMOBL121009_022;Blanes;Mediterranean Sea;Illumina;09/10/2012;2012;October;SRF;2;3;41.670417;2.800167;18.31;37.9;5.18;8.4;0.04;0.04;0.83;0.03;0.93;0.34
BBMOBL121009_30;Blanes;Mediterranean Sea;Illumina;09/10/2012;2012;October;SRF;3;3;41.670417;2.800167;18.31;37.9;5.18;8.4;0.04;0.04;0.83;0.03;0.93;0.34
BBMOBL121106_022;Blanes;Mediterranean Sea;Illumina;06/11/2012;2012;November;SRF;2;3;41.670417;2.800167;16.66;38;5.32;8.39;3.52;0.12;1.7;0.22;2.04;0.46
BBMOBL121106_30;Blanes;Mediterranean Sea;Illumina;06/11/2012;2012;November;SRF;3;3;41.670417;2.800167;16.66;38;5.32;8.39;3.52;0.12;1.7;0.22;2.04;0.46
BBMOBL121106_30r3;Blanes;Mediterranean Sea;Illumina;07/11/2012;2013;December;SRF;3;3;41.670418;2.800168;16.67;39;5.33;8.4;3.53;0.13;1.8;0.23;2.05;0.47
BBMOBL121211_022;Blanes;Mediterranean Sea;Illumina;11/12/2012;2012;December;SRF;2;3;41.670417;2.800167;14.25;38;5.85;8.38;1.36;0.32;0.86;0.08;2.02;0.48
BBMOBL121211_30;Blanes;Mediterranean Sea;Illumina;11/12/2012;2012;December;SRF;3;3;41.670417;2.800167;14.25;38;5.85;8.38;1.36;0.32;0.86;0.08;2.02;0.48
BBMOBL121211_30r3;Blanes;Mediterranean Sea;Illumina;12/12/2012;2013;January;SRF;3;3;41.670418;2.800168;14.26;39;5.86;8.39;1.37;0.32;0.86;0.08;2.03;0.49
BBMOBL130115_022;Blanes;Mediterranean Sea;Illumina;15/01/2013;2013;January;SRF;2;3;41.670417;2.800167;13.27;38.1;5.89;8.41;1.21;0.4;1.17;0.12;1.56;0.89
BBMOBL130115_30;Blanes;Mediterranean Sea;Illumina;15/01/2013;2013;January;SRF;3;3;41.670417;2.800167;13.27;38.1;5.89;8.41;1.21;0.4;1.17;0.12;1.56;0.89
BBMOBL130115_30r3;Blanes;Mediterranean Sea;Illumina;16/01/2013;2014;February;SRF;3;3;41.670418;2.800168;13.28;38.2;5.9;8.42;1.22;0.5;1.18;0.13;1.57;0.9
BBMOBL130206_022;Blanes;Mediterranean Sea;Illumina;06/02/2013;2013;February;SRF;2;3;41.670417;2.800167;12.76;38.2;5.94;8.39;1.73;0.7;5.9;0.11;1.46;0.72
BBMOBL130206_30;Blanes;Mediterranean Sea;Illumina;06/02/2013;2013;February;SRF;3;3;41.670417;2.800167;12.76;38.2;5.94;8.39;1.73;0.7;5.9;0.11;1.46;0.72
BBMOBL130206_30r3;Blanes;Mediterranean Sea;Illumina;07/02/2013;2014;March;SRF;3;3;41.670418;2.800168;12.77;38.3;5.95;8.4;1.74;0.8;5.1;0.12;1.47;0.73
BBMOBL130312_022;Blanes;Mediterranean Sea;Illumina;12/03/2013;2013;March;SRF;2;3;41.670417;2.800167;12.78;38.1;6.41;8.38;3.29;0.22;0.18;0.16;2.48;1.08
BBMOBL130312_30;Blanes;Mediterranean Sea;Illumina;12/03/2013;2013;March;SRF;3;3;41.670417;2.800167;12.78;38.1;6.41;8.38;3.29;0.22;0.18;0.16;2.48;1.08
BBMOBL130312_30r3;Blanes;Mediterranean Sea;Illumina;13/03/2013;2014;April;SRF;3;3;41.670418;2.800168;12.79;38.2;6.42;8.39;3.3;0.22;0.18;0.16;2.49;1.09
BBMOBL130417_022;Blanes;Mediterranean Sea;Illumina;17/04/2013;2013;April;SRF;2;3;41.670417;2.800167;14.51;37.9;5.94;8.29;0.65;0.18;0.58;0.08;1.36;0.49
BBMOBL130417_30;Blanes;Mediterranean Sea;Illumina;17/04/2013;2013;April;SRF;3;3;41.670417;2.800167;14.51;37.9;5.94;8.29;0.65;0.18;0.58;0.08;1.36;0.49
BBMOBL130417_30r3;Blanes;Mediterranean Sea;Illumina;18/04/2013;2014;May;SRF;3;3;41.670418;2.800168;14.52;37.1;5.95;8.3;0.65;0.18;0.58;0.08;1.37;0.5
BBMOBL130507_022;Blanes;Mediterranean Sea;Illumina;07/05/2013;2013;May;SRF;2;3;41.670417;2.800167;14.96;37.7;7.88;8.35;1.37;0.21;0.67;0.1;1.45;0.75
BBMOBL130507_30;Blanes;Mediterranean Sea;Illumina;07/05/2013;2013;May;SRF;3;3;41.670417;2.800167;14.96;37.7;7.88;8.35;1.37;0.21;0.67;0.1;1.45;0.75
BBMOBL130507_30r3;Blanes;Mediterranean Sea;Illumina;08/05/2013;2014;June;SRF;3;3;41.670418;2.800168;14.97;37.8;7.89;8.36;1.38;0.21;0.67;0.1;1.46;0.76
BBMOBL130604_022;Blanes;Mediterranean Sea;Illumina;04/06/2013;2013;June;SRF;2;3;41.670417;2.800167;16.92;37.6;5.86;8.17;0.34;0.17;1.96;0.1;1.25;0.31
BBMOBL130604_30;Blanes;Mediterranean Sea;Illumina;04/06/2013;2013;June;SRF;3;3;41.670417;2.800167;16.92;37.6;5.86;8.17;0.34;0.17;1.96;0.1;1.25;0.31
BBMOBL130604_30r3;Blanes;Mediterranean Sea;Illumina;05/06/2013;2014;July;SRF;3;3;41.670418;2.800168;16.93;37.7;5.87;8.18;0.34;0.17;1.97;0.2;1.26;0.32
BBMOBL130709_022;Blanes;Mediterranean Sea;Illumina;13/07/2013;2013;July;SRF;2;3;41.670417;2.800167;21.61;37.9;4.97;8.16;0.13;0.11;0.85;0.09;0.46;0.5
BBMOBL130709_30r2;Blanes;Mediterranean Sea;Illumina;13/07/2013;2013;July;SRF;3;3;41.670417;2.800167;21.61;37.9;4.97;8.16;0.13;0.11;0.85;0.09;0.46;0.5
BBMOBL130709_30r3;Blanes;Mediterranean Sea;Illumina;14/07/2013;2014;August;SRF;3;3;41.670418;2.800168;21.62;37.1;4.98;8.17;0.13;0.11;0.85;0.09;0.46;0.5
BBMOBL130801_022;Blanes;Mediterranean Sea;Illumina;01/08/2013;2013;August;SRF;2;3;41.670417;2.800167;23.58;37.8;4.94;8.19;0.24;0.22;3.48;0.07;0.46;0.21
BBMOBL130801_30;Blanes;Mediterranean Sea;Illumina;01/08/2013;2013;August;SRF;3;3;41.670417;2.800167;23.58;37.8;4.94;8.19;0.24;0.22;3.48;0.07;0.46;0.21
BBMOBL130801_30r3;Blanes;Mediterranean Sea;Illumina;02/08/2013;2014;September;SRF;3;3;41.670418;2.800168;23.59;37.9;4.95;8.2;0.24;0.22;3.49;0.07;0.46;0.21
BBMOBL130917_022;Blanes;Mediterranean Sea;Illumina;17/09/2013;2013;September;SRF;2;3;41.670417;2.800167;23.41;38.1;4.88;8.19;0.32;0.06;0.13;0.08;0.71;0.31
BBMOBL130917_30;Blanes;Mediterranean Sea;Illumina;17/09/2013;2013;September;SRF;3;3;41.670417;2.800167;23.41;38.1;4.88;8.19;0.32;0.06;0.13;0.08;0.71;0.31
BBMOBL130917_30r3;Blanes;Mediterranean Sea;Illumina;18/09/2013;2014;October;SRF;3;3;41.670418;2.800168;23.42;38.2;4.89;8.2;0.32;0.06;0.13;0.08;0.71;0.31
BBMOBL131015_022;Blanes;Mediterranean Sea;Illumina;15/10/2013;2013;October;SRF;2;3;41.670417;2.800167;21.4;38.1;4.98;8.14;0.22;0.1;0.43;0.08;0.82;0.28
BBMOBL131015_30;Blanes;Mediterranean Sea;Illumina;15/10/2013;2013;October;SRF;3;3;41.670417;2.800167;21.4;38.1;4.98;8.14;0.22;0.1;0.43;0.08;0.82;0.28
BBMOBL131105_022;Blanes;Mediterranean Sea;Illumina;05/11/2013;2013;November;SRF;2;3;41.670417;2.800167;18.06;38;5.14;8.06;0.32;0.11;0.32;0.07;0.81;0.42
BBMOBL131105_30;Blanes;Mediterranean Sea;Illumina;05/11/2013;2013;November;SRF;3;3;41.670417;2.800167;18.06;38;5.14;8.06;0.32;0.11;0.32;0.07;0.81;0.42
BBMOBL131015_30r3;Blanes;Mediterranean Sea;Illumina;15/10/2013;2013;October;SRF;3;3;41.670417;2.800167;21.4;38.1;4.98;8.14;0.22;0.1;0.43;0.08;0.82;0.28
BBMOBL131105_30r3;Blanes;Mediterranean Sea;Illumina;05/11/2013;2013;November;SRF;3;3;41.670417;2.800167;18.06;38;5.14;8.06;0.32;0.11;0.32;0.07;0.81;0.42
BBMOBL131204_022;Blanes;Mediterranean Sea;Illumina;15/12/2013;2013;December;SRF;2;3;41.670417;2.800167;14.42;38.1;5.67;8.05;1.53;0.38;0.47;0.17;1.88;0.6
BBMOBL131204_30;Blanes;Mediterranean Sea;Illumina;15/12/2013;2013;December;SRF;3;3;41.670417;2.800167;14.42;38.1;5.67;8.05;1.53;0.38;0.47;0.17;1.88;0.6
BBMOBL131204_30r3;Blanes;Mediterranean Sea;Illumina;16/12/2013;2014;January;SRF;3;3;41.670418;2.800168;14.43;38.2;5.68;8.06;1.54;0.38;0.47;0.17;1.89;0.7
MalaDeep_ST10_3944m_0d2um_1;Malaspina;Subtropical ocean;Illumina;26/12/2010;2010;December;DEEP;8;3944;14.52;-26;2.39;34.9;NA;NA;NA;NA;NA;1.47;46.24;NA
MalaDeep_ST10_3944m_0d2um_2;Malaspina;Subtropical ocean;Illumina;26/12/2010;2010;December;DEEP;8;3944;14.52;-26;2.39;34.9;NA;NA;NA;NA;NA;1.47;46.24;NA
MalaDeep_ST10_3944m_0d8um_1;Malaspina;Subtropical ocean;Illumina;26/12/2010;2010;December;DEEP;20;3944;14.52;-26;2.39;34.9;NA;NA;NA;NA;NA;1.47;46.24;NA
MalaDeep_ST10_3944m_0d8um_2;Malaspina;Subtropical ocean;Illumina;26/12/2010;2010;December;DEEP;20;3944;14.52;-26;2.39;34.9;NA;NA;NA;NA;NA;1.47;46.24;NA
MalaDeep_ST103_4000m_0d2um_1;Malaspina;Subtropical ocean;Illumina;16/05/2011;2011;May;DEEP;8;4000;21.064;-150.319;1.48;34.69;NA;NA;NA;NA;NA;1.98;159.51;NA
MalaDeep_ST103_4000m_0d2um_2;Malaspina;Subtropical ocean;Illumina;16/05/2011;2011;May;DEEP;8;4000;21.064;-150.319;1.48;34.69;NA;NA;NA;NA;NA;1.98;159.51;NA
MalaDeep_ST103_4000m_0d8um_1;Malaspina;Subtropical ocean;Illumina;16/05/2011;2011;May;DEEP;20;4000;21.064;-150.319;1.48;34.69;NA;NA;NA;NA;NA;1.98;159.51;NA
MalaDeep_ST103_4000m_0d8um_2;Malaspina;Subtropical ocean;Illumina;16/05/2011;2011;May;DEEP;20;4000;21.064;-150.319;1.48;34.69;NA;NA;NA;NA;NA;1.98;159.51;NA
MalaDeep_ST109_4000m_0d2um_1;Malaspina;Subtropical ocean;Illumina;22/05/2011;2011;May;DEEP;8;4000;18.028;-133.26;1.48;34.69;NA;NA;19.78;NA;NA;1.87;158.46;NA
MalaDeep_ST109_4000m_0d2um_2;Malaspina;Subtropical ocean;Illumina;22/05/2011;2011;May;DEEP;8;4000;18.028;-133.26;1.48;34.69;NA;NA;19.78;NA;NA;1.87;158.46;NA
MalaDeep_ST109_4000m_0d8um_1;Malaspina;Subtropical ocean;Illumina;22/05/2011;2011;May;DEEP;20;4000;18.028;-133.26;1.48;34.69;NA;NA;19.78;NA;NA;1.87;158.46;NA
MalaDeep_ST109_4000m_0d8um_2;Malaspina;Subtropical ocean;Illumina;22/05/2011;2011;May;DEEP;20;4000;18.028;-133.26;1.48;34.69;NA;NA;19.78;NA;NA;1.87;158.46;NA
MalaDeep_ST112_4000m_0d2um_1;Malaspina;Subtropical ocean;Illumina;25/05/2011;2011;May;DEEP;8;4000;15.909;-124.474;1.49;34.69;NA;NA;26.91;NA;NA;0.87;162.6;NA
MalaDeep_ST112_4000m_0d2um_2;Malaspina;Subtropical ocean;Illumina;25/05/2011;2011;May;DEEP;8;4000;15.909;-124.474;1.49;34.69;NA;NA;26.91;NA;NA;0.87;162.6;NA
MalaDeep_ST112_4000m_0d8um_1;Malaspina;Subtropical ocean;Illumina;25/05/2011;2011;May;DEEP;20;4000;15.909;-124.474;1.49;34.69;NA;NA;26.91;NA;NA;0.87;162.6;NA
MalaDeep_ST112_4000m_0d8um_2;Malaspina;Subtropical ocean;Illumina;25/05/2011;2011;May;DEEP;20;4000;15.909;-124.474;1.49;34.69;NA;NA;26.91;NA;NA;0.87;162.6;NA
MalaDeep_ST118_3200m_0d2um_1;Malaspina;Subtropical ocean;Illumina;31/05/2011;2011;May;DEEP;8;3200;12.001;-108.076;1.69;34.68;NA;NA;19.35;NA;NA;2.13;159.03;NA
MalaDeep_ST118_3200m_0d2um_2;Malaspina;Subtropical ocean;Illumina;31/05/2011;2011;May;DEEP;8;3200;12.001;-108.076;1.69;34.68;NA;NA;19.35;NA;NA;2.13;159.03;NA
MalaDeep_ST118_3200m_0d8um_1;Malaspina;Subtropical ocean;Illumina;31/05/2011;2011;May;DEEP;20;3200;12.001;-108.076;1.69;34.68;NA;NA;19.35;NA;NA;2.13;159.03;NA
MalaDeep_ST118_3200m_0d8um_2;Malaspina;Subtropical ocean;Illumina;31/05/2011;2011;May;DEEP;20;3200;12.001;-108.076;1.69;34.68;NA;NA;19.35;NA;NA;2.13;159.03;NA
MalaDeep_ST121_3000m_0d2um_1;Malaspina;Subtropical ocean;Illumina;03/06/2011;2011;June;DEEP;8;3000;10.093;-99.246;1.84;34.68;NA;NA;30.26;NA;NA;2.28;159.43;NA
